institution,weighted_degree_centrality
Queen Elizabeth Hospital,147
Austrian Academy of Sciences,147
Queen Mary University of London,146
Charles University,144
University of Freiburg,143
"University of California, Santa Cruz",142
University of Leicester,141
Assistance Publique – Hôpitaux de Paris,141
Massachusetts Institute of Technology,141
Hospital for Sick Children,141
Addis Ababa University,141
University of Southern California,140
University of Nairobi,140
Garvan Institute of Medical Research,138
Dr. Margarete Fischer-Bosch-Institute of Clinical Pharmacology,138
Jena University Hospital,138
Indiana University – Purdue University Indianapolis,138
Institut Gustave Roussy,138
Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,138
"National University Cancer Institute, Singapore",138
Bambino Gesù Children's Hospital,138
Texas Children's Hospital,138
Istituti di Ricovero e Cura a Carattere Scientifico,138
Hôpital Robert-Debré,137
Western University,135
Université de Montréal,135
Red Cross War Memorial Children's Hospital,133
Murdoch Children's Research Institute,133
University of Cape Town,133
Yonsei University,132
UC San Diego Health System,131
LMU Klinikum,131
Hospices Civils de Lyon,130
Wellcome Sanger Institute,130
Indian Institute of Technology Hyderabad,129
Université Paris Cité,127
Normandie Université,127
University of Lausanne,126
Centro de Investigación Biomédica en Red Diabetes y Enfermedades Metabólicas Asociadas,126
National Center for Global Health and Medicine,126
Universitätsklinikum Erlangen,124
Utrecht University,124
University of Mississippi Medical Center,123
Hospital de Sant Pau,123
George Washington University,123
University of Electronic Science and Technology of China,123
University of Ghana,122
Queen's University,122
University of Bern,122
Norwegian University of Science and Technology,121
Columbia University,120
Newcastle University,117
Universidade do Porto,117
Ghent University,117
Karolinska Institutet,116
University of Alberta,116
Manipal Academy of Higher Education,115
Chinese Academy of Medical Sciences & Peking Union Medical College,115
Medical College of Wisconsin,115
University of Lisbon,114
Oregon Health & Science University,113
Centre Hospitalier Universitaire de Montpellier,112
University of Vienna,112
University of Southampton,110
Delft University of Technology,110
Shanghai Jiao Tong University,109
The Francis Crick Institute,109
Tata Institute of Fundamental Research,109
Keck Hospital of USC,109
Helsinki Institute of Physics,109
Rudjer Boskovic Institute,108
Peking University,108
Institució Catalana de Recerca i Estudis Avançats,107
Simon Fraser University,107
Pontificia Universidad Católica de Chile,107
Sorbonne Université,106
University of Ibadan,105
Oregon State University,105
The University of Texas at Austin,105
University of Arizona,104
Barcelona Institute for Global Health,103
National Institute of Genomic Medicine,102
Kiel University,102
University of Portsmouth,102
University of Surrey,102
Harokopio University of Athens,102
Glenfield Hospital,102
Edinburgh Cancer Research,102
Mental Health Services,102
John Radcliffe Hospital,102
University Hospital Heidelberg,102
University Medical Center Groningen,102
Queen's University Belfast,102
Isfahan University of Medical Sciences,102
National Health Research Institutes,102
University of Exeter,102
QIMR Berghofer Medical Research Institute,102
Universität Innsbruck,102
RTI International,102
University of Sassari,102
IRCCS Materno Infantile Burlo Garofolo,102
UCLA Medical Center,102
University Hospital Regensburg,102
University of Mississippi,102
Curtin University,102
William Harvey Research Institute,102
NIHR Leicester Biomedical Research Centre,102
Copenhagen Prospective Studies on Asthma in Childhood,102
VA Eastern Colorado Health Care System,102
Institute for Biomedicine,102
Université Laval,102
Praevium Research (United States),102
University Medical Centre Mannheim,102
23andMe (United States),102
Lundbeck Foundation,102
Kaiser Permanente,102
Statens Serum Institut,102
Durham University,102
Steno Diabetes Center,102
Innsbruck Medical University,102
Nanjing University of Chinese Medicine,102
SIB Swiss Institute of Bioinformatics,102
Eurac Research,102
Division of Cancer Epidemiology and Genetics,102
University of Regensburg,102
University of Colorado Anschutz Medical Campus,102
National Institute of Mental Health,101
University of Cyprus,101
Lund University,101
Johns Hopkins Medicine,101
Obayashi (Japan),99
Tufts University,99
State University of New York,99
Forschungszentrum Jülich,99
Jožef Stefan Institute,99
CEA LIST,99
Kurchatov Institute,99
"Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali del Gran Sasso",99
Thomas Jefferson National Accelerator Facility,99
Institut National de Physique Nucléaire et de Physique des Particules,99
"Istituto Nazionale di Fisica Nucleare, Sezione di Padova",99
Instituto de Física Corpuscular,99
"Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca",99
"Istituto Nazionale di Fisica Nucleare, Sezione di Napoli",99
Budker Institute of Nuclear Physics,99
University of Bonn,99
High Energy Accelerator Research Organization,99
University of Louisville,99
Universitat de València,99
University of Rome Tor Vergata,99
Florida State University,99
University of Zurich,99
National University of General San Martín,99
Brookhaven National Laboratory,99
Deutsches Elektronen-Synchrotron DESY,99
University of Colorado Boulder,99
University of Basel,99
Novosibirsk State University,99
"Rutgers, The State University of New Jersey",99
Royal Holloway University of London,99
Tokyo Metropolitan University,99
European Organization for Nuclear Research,99
Syracuse University,99
Heidelberg Institute for Theoretical Studies,99
Institut des Hautes Études Scientifiques,99
Michigan State University,99
National Institute for Subatomic Physics,99
Siberian Branch of the Russian Academy of Sciences,99
International Center for Advanced Studies,99
"Istituto Nazionale di Fisica Nucleare, Sezione di Roma I",99
Stefan Meyer Institute for Subatomic Physics,99
"Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Frascati",99
Laboratoire de Physique des 2 Infinis Irène Joliot-Curie,99
Sapienza University of Rome,99
University of Oklahoma,99
Stony Brook University,99
Universidad Nacional Autónoma de México,98
Barts Health NHS Trust,98
University of Leeds,97
Georgia Institute of Technology,97
Aga Khan University Nairobi,96
University of Miami,96
University of the Witwatersrand,95
Dana-Farber Cancer Institute,95
Indian Institute of Science Bangalore,93
University of Kinshasa,93
University of Malaya,93
Finnish Institute for Health and Welfare,91
University of Tehran,91
Kindai University,91
St Petersburg University,91
"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement",90
Institut de Recherche pour le Développement,88
University of Vermont,87
Hallym University,87
The Lundquist Institute,87
deCODE Genetics (Iceland),87
Yale Cancer Center,87
Korea National Institute of Health,87
Circadian (United States),87
MRC Epidemiology Unit,87
Statistical Research (United States),87
Medical Research Council,87
Brown University,87
"Consejo Nacional de Humanidades, Ciencias y Tecnologías",87
Ealing Hospital,87
European Genomic Institute for Diabetes,87
German Center for Diabetes Research,87
Centre for Genomic Regulation,87
"Oxford Centre for Diabetes, Endocrinology and Metabolism",87
Population Health Research Institute,87
Vejle Sygehus,87
London North West Healthcare NHS Trust,87
Hamilton Health Sciences,87
Georgia State University,87
Deutsches Diabetes-Zentrum e.V.,87
University of York,86
Universidad de Granada,84
Tokyo Medical University,84
Iwate Medical University,84
Centre Hospitalier Universitaire de Lille,84
University Medical Center Utrecht,84
Korea University Medical Center,84
Helsinki University Hospital,84
German Center for Neurodegenerative Diseases,84
Los Angeles County Department of Public Health,84
East Carolina University,84
Oslo University Hospital,84
"University of Maryland, Baltimore",84
Rajendra Institute of Medical Sciences,84
Roswell Park Comprehensive Cancer Center,84
Technical University of Munich,84
Data Tecnica International (United States),84
British Heart Foundation,84
Thrombolysis in Myocardial Infarction Study Group,84
VA Maryland Health Care System,84
Geisinger Health System,84
Bordeaux Population Health,84
Tohoku Medical Megabank Organization,84
Institut d'Investigació en Ciències de la Salut Germans Trias i Pujol,84
University of Cincinnati Medical Center,84
German Centre for Cardiovascular Research,84
Aichi Medical University Hospital,84
Universidade da Região de Joinville,84
Icelandic Heart Association,84
Thrombosis and Atherosclerosis Research Institute,84
Carnegie Mellon University,83
Centers for Disease Control and Prevention,83
University of Pretoria,82
Nottingham University Hospitals NHS Trust,82
Marien Ngouabi University,81
Institut des Maladies Neurodégénératives,79
VA San Diego Healthcare System,79
MIND Research Institute,79
Montreal Neurological Institute and Hospital,79
Wellcome/MRC Institute of Metabolic Science,79
MRC Centre for Reproductive Health,79
Seoul National University,79
Prostate Cancer Research,79
Shanghai Institute for Science of Science,79
Cuban Neuroscience Center,79
Great Ormond Street Hospital,79
Douglas Mental Health University Institute,79
Singapore Institute for Clinical Sciences,79
Shanghai Center for Brain Science and Brain-Inspired Technology,79
Cyceron,79
Freie Universität Berlin,79
National Institute of Mental Health and Neurosciences,79
Universidade Federal de São Paulo,79
MRC Cognition and Brain Sciences Unit,79
Center for Translational Research in Neuroimaging and Data Science,79
Max Planck Institute for Human Cognitive and Brain Sciences,79
Lifespan,79
Cambridgeshire and Peterborough NHS Foundation Trust,79
Penn Center for AIDS Research,79
Université de Caen Normandie,79
Physiopathologie et imagerie des troubles neurologiques,79
Wellcome Trust,79
University of Bristol,78
IRCCS Humanitas Research Hospital,78
Université Bourgogne Franche-Comté,77
Children's Hospital of Wisconsin,76
University of Lübeck,76
Centre International de Recherche en Infectiologie,76
S.L. Raheja Hospital,76
Universitätsmedizin Göttingen,76
Lancaster University,76
University Hospital Schleswig-Holstein,76
West China Hospital of Sichuan University,76
Fudan University Shanghai Cancer Center,76
Marqués de Valdecilla University Hospital,76
Instituto de Investigación Marqués de Valdecilla,76
Royal Marsden Hospital,76
Leeds Teaching Hospitals NHS Trust,76
University of Siena,76
Universidade Federal da Bahia,76
Hôpital Cardiologique du Haut-Lévêque,76
Sichuan University,76
Aga Khan University Hospital Nairobi,76
Université Claude Bernard Lyon 1,76
Mayo Clinic,76
Chi Mei Medical Center,76
Texas A&M University,76
Institut Paoli-Calmettes,76
Swansea University,75
École Polytechnique Fédérale de Lausanne,75
World Health Organization,74
Hasselt University,73
Manchester Academic Health Science Centre,73
British Geriatrics Society,73
Tecnológico de Monterrey,73
Neuroscience Research Australia,73
Manchester University NHS Foundation Trust,73
Jacobs (United States),73
La Trobe University,73
Tel Aviv Sourasky Medical Center,73
Mackay Base Hospital,73
Australian Institute for Musculoskeletal Science,73
Northern Sydney Local Health District,73
Institute for Musculoskeletal Health,73
Lawson Health Research Institute,73
Universidade Cidade de São Paulo,73
VA Ann Arbor Healthcare System,73
National Center for Chronic and Noncommunicable Disease Control and Prevention,73
GGD Amsterdam,73
Glasgow Caledonian University,73
Flinders University,73
Albert Einstein College of Medicine,73
St. Michael's Hospital,73
McGill University Health Centre,73
Vancouver Coastal Health,73
Hospital Italiano de Buenos Aires,73
Vancouver Coastal Health Research Institute,73
Parkwood Institute,73
VA Western New York Healthcare System,73
Sydney Local Health District,73
Brazilian Agricultural Research Corporation,73
"University at Buffalo, State University of New York",73
Western Health,73
Women and Children’s Health Research Institute,73
Hebrew SeniorLife,73
St. James's Hospital,73
Melbourne Health,73
VA Greater Los Angeles Healthcare System,73
Tehran University of Medical Sciences,72
Nanyang Technological University,71
Hotel Dieu Hospital,71
Levine Cancer Institute,71
City of Hope,71
National Institute of Industrial Engineering,70
University of Johannesburg,70
Zoological Society of London,69
Czech University of Life Sciences Prague,68
All India Institute of Medical Sciences,67
Northeastern University,67
Deakin University,67
University of Georgia,66
Indian Institute of Technology Delhi,66
BI Norwegian Business School,66
EAE Business School,66
ESIC Business & Marketing School,66
Universität der Bundeswehr München,66
Audencia Business School,66
Hong Kong Polytechnic University,66
University of Piraeus,66
Universidad de La Laguna,65
Institute of Astrophysics and Space Sciences,65
National Observatory,65
Université Paris Sciences et Lettres,65
Perimeter Institute,65
University of Oslo,65
Australian National University,65
Institut d'Estudis Espacials de Catalunya,65
Valongo Observatory,65
Universidade Estadual de Campinas (UNICAMP),65
Institute of Space Sciences,65
Center for Astrophysics Harvard & Smithsonian,65
Kavli Institute for Particle Astrophysics and Cosmology,65
Instituto de Astrofísica de Canarias,65
National Center for Supercomputing Applications,65
Macquarie University,65
SLAC National Accelerator Laboratory,65
Trieste Astronomical Observatory,65
Khon Kaen University,65
Australian Astronomical Observatory,65
École Normale Supérieure - PSL,65
University of Hawaii System,65
Cerro Tololo Inter-American Observatory,65
Laboratório Interinstitucional de e-Astronomia,65
Jet Propulsion Laboratory,65
Institute for Physics,65
"Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas",65
Institute for Fundamental Physics of the Universe,65
UK Astronomy Technology Centre,65
Universidade Estadual Paulista (Unesp),65
Lowell Observatory,65
Center for Marine and Oceanographic Research,64
Southern Leyte State University,64
Njala University,64
University of Iceland,64
South China Normal University,64
National Technical University of Athens,64
City University of Hong Kong,64
Instituto Federal do Rio Grande do Norte,64
Patuakhali Science and Technology University,64
Universidad Nacional,64
Yerevan State University,64
Université d'Abomey-Calavi,64
Institut de Recherches Géologiques et Minières,64
Amsterdam Institute for Global Health and Development,64
Université Pédagogique Nationale,64
ECT Oekotoxikologie (Germany),64
Lagos State Polytechnic,64
Central Midwest Water Science Center,64
Nazarbayev University,64
Purdue University West Lafayette,64
Higher University of San Andrés,64
Universidad Mayor,64
Universidad de Santiago de Chile,64
L. N. Gumilyov Eurasian National University,64
Agricultural University of Tirana,64
Universidad del Valle,64
Universidad Andrés Bello,64
Université Joseph Ki-Zerbo,64
University of Gujrat,64
Smithsonian Tropical Research Institute,64
United States Geological Survey,64
Al-Quds University,64
Georgian Technical University,64
International University of Monaco,64
Universiti Putra Malaysia,64
National University of Lesotho,64
Universidad Nacional del Centro del Perú,64
Agricultural Biotechnology Research Institute of Iran,64
Ministry of Health and Social Welfare,64
Kingston University,64
University of Sharjah,63
Kumamoto University,62
Cincinnati Children's Hospital Medical Center,62
Hospital Infantil Universitario Niño Jesús,62
Munich Leukemia Laboratory (Germany),62
University Hospital Leipzig,62
Nationwide Children's Hospital,62
Indiana University School of Medicine,62
Medizinische Hochschule Hannover,62
Institut Cochin,62
Hôpital Ambroise-Paré,62
Sahlgrenska University Hospital,62
Hôpital Maisonneuve-Rosemont,62
Guy's and St Thomas' NHS Foundation Trust,62
Hôpital Cochin,62
Indian Institute of Technology Kharagpur,61
Indiana University,60
University of Manitoba,59
University of Buenos Aires,59
Wayne State University,59
Google (United States),59
Mayo Clinic in Florida,58
University of Ulsan,58
Asan Medical Center,58
Ulsan College,58
Kyorin University,58
Russian Railways,58
Clinica Universidad de Navarra,58
Sri Venkateshwaraa Medical College Hospital and Research Centre,58
Humanity & Health,58
Russian Cancer Research Center NN Blokhin,58
Ben-Gurion University of the Negev,58
Humanitas University,58
University of Szeged,57
Sunchon National University,57
University of Technology - Iraq,57
University of Strathclyde,57
Nanjing Medical University,57
Universidad de Costa Rica,57
Rothamsted Research,57
Norwich Research Park,57
Southern University of Science and Technology,57
Sookmyung Women's University,57
Ministry of Agriculture and Rural Affairs,57
Oil Crops Research Institute,57
LOEWE Centre for Translational Biodiversity Genomics,57
Department of Embryology,57
Chinese Academy of Agricultural Sciences,57
Wageningen University & Research,57
University of Hong Kong,57
University of Tarapacá,57
Universidad de Málaga,57
Tennessee State University,57
Carnegie Institution for Science,57
Joint Genome Institute,57
Universidade Federal do Rio de Janeiro,57
Scripps Research Institute,57
John Innes Centre,57
Indonesian Pediatric Society,57
Consejo Superior de Investigaciones Científicas,57
University of Florida,57
Shenzhen Bay Laboratory,57
Leiden University,57
Yenepoya University,57
Scripps Institution of Oceanography,57
J. Craig Venter Institute,57
Westerdijk Fungal Biodiversity Institute,57
Netherlands Institute of Ecology,57
Swiss Federal Institute of Aquatic Science and Technology,57
"Instituto de Hortofruticultura Subtropical y Mediterránea ""La Mayora""",57
Chiang Mai University,56
Indian Institute of Management Ahmedabad,56
Universidad San Francisco de Quito,55
Sejong University,55
"University of Maryland, Baltimore County",55
King Abdulaziz University,55
Pennsylvania State University,54
Manhiça Health Research Centre,54
Centro Hospitalar Lisboa Norte,54
Fundación para el Fomento de la Investigación Sanitaria y Biomédica de la Comunitat Valenciana,54
Alaska Native Tribal Health Consortium,54
Colorado School of Public Health,54
University of Peradeniya,54
Institute of Environmental Science and Research,54
KK Women's and Children's Hospital,54
The Kids Research Institute Australia,54
Jawaharlal Institute of Post Graduate Medical Education and Research,54
National Center for Communicable Diseases,54
Kenya Medical Research Institute,54
National Center for Disease Control and Public Health,54
GlaxoSmithKline (United States),54
Infant Foundation,54
Centro de Educación Médica e Investigaciones Clínicas Norberto Quirno,54
Research Institute of Influenza,54
Meditation De-Addiction Health AIDS Nutrition Trust,54
Hôpital de la Croix-Rousse,54
Center for Global Health,54
South African Medical Research Council,54
National Health Laboratory Service,54
University of Split,54
Nagasaki University,54
Hospital General de Niños Ricardo Gutierrez,54
Dongguk University Ilsan Hospital,54
Royal Children's Hospital,54
Noguchi Memorial Institute for Medical Research,54
National University of Tucumán,53
Fondazione IRCCS Istituto Nazionale dei Tumori,53
University of Waterloo,53
James Hutton Institute,53
Institute of Geographic Sciences and Natural Resources Research,53
Water and Land Resource Centre,53
Fund for Scientific Research,53
Universidad Nacional de Córdoba,53
Azim Premji University,53
US Forest Service,53
Ministry for the Environment,53
Indian Space Research Organisation,53
Environmental Defense Fund,53
Clark University,53
Laboratoire d'Écologie Alpine,53
Instituto Multidisciplinario de Biología Vegetal,53
Palo Alto Institute,53
Ashoka Trust for Research in Ecology and the Environment,53
Indian Institute of Science Education and Research Pune,53
Hokkaido University,53
Basque Centre for Climate Change,53
Arizona State University,53
University of Hohenheim,53
Ikerbasque,53
Université Savoie Mont Blanc,53
National Institute for Space Research,53
UCLouvain,53
National University of San Luis,53
Swiss Academy of Sciences,53
University of Twente,53
BOKU University,53
Colorado State University,53
Université Grenoble Alpes,53
University of Turin,53
United Nations Children's Fund,52
Hôpital Lyon Sud,52
Christ University,52
King Saud University,50
Ufa State Aviation Technical University,48
Universiti Tunku Abdul Rahman,48
University of Münster,48
Institut National des Sciences Appliquées Rouen Normandie,48
Université de Lorraine,48
Université de Rouen Normandie,48
Universidade Federal de Minas Gerais,48
Karadeniz Technical University,48
National Academy of Sciences of Ukraine,48
Karlsruhe Institute of Technology,48
Saga University,48
Universidade Federal de São Carlos,48
Montanuniversität Leoben,48
Iowa State University,48
Nagoya Institute of Technology,48
Cracow University of Technology,48
Institute of Solid State Physics,48
Doshisha University,48
Technological Institute for Superhard and Novel Carbon Materials,48
Kyushu Institute of Technology,48
University of Miskolc,48
Ames National Laboratory,48
Kyushu Sangyo University,48
Université du Québec à Trois-Rivières,48
Ibaraki University,48
Toyota Central Research and Development Laboratories (Japan),48
Laboratoire d'Étude des Microstructures et de Mécanique des Matériaux,48
Groupe de Physique des Matériaux,48
Materials Science & Engineering,48
Erich Schmid Institute of Materials Science,48
Freeman Hospital,48
"Czech Academy of Sciences, Institute of Physics of Materials",48
Donetsk Institute for Physics and Engineering named after O.O. Galkin,48
M.N. Mikheev Institute of Metal Physics,48
Kunming University of Science and Technology,48
Eötvös Loránd University,48
University of Adelaide,48
Linköping University,47
NEC (Japan),47
Thales (Netherlands),47
Groupe Hospitalier de la Région de Mulhouse et Sud Alsace,47
Japan Broadcasting Corporation (Japan),47
Preferred Networks (Japan),47
Hexcel (United States),47
Beihang University,47
University of Otago,47
Computational Diagnostics (United States),47
The Netherlands Cancer Institute,47
Centre Hospitalier de Mulhouse,47
Numerica Corporation (United States),47
Centro Universitário de João Pessoa,47
Tufts Medical Center,47
UCSI University,47
University Health Network,47
Aichi Medical University,47
Tampere University,47
Universidade Presbiteriana Mackenzie,47
Janelia Research Campus,47
Instituto do Sono,47
Comcast (United States),47
Toshiba (Japan),47
United Institute of Informatics Problems,47
Elekta (Switzerland),47
Instituto de Ensino e Pesquisa Santa Casa,47
Research Organization for Information Science and Technology,47
Tata Medical Center,47
Zentrum für Pathologie und Zytodiagnostik,47
Zayed University,47
Hospital San Juan de Dios,47
North Florida/South Georgia Veterans Health System,47
Southeast University,47
WinnMed,45
Hospital de Clínicas de Porto Alegre,45
Agharkar Research Institute,44
Institute of Microbiology,44
French Community of Belgium,44
Swedish University of Agricultural Sciences,44
University of South Bohemia in České Budějovice,44
"Royal Botanic Gardens, Kew",44
University of Ruhuna,44
Universidade Federal de Mato Grosso do Sul,44
Meise Botanic Garden,44
University of Silesia in Katowice,44
Zhongkai University of Agriculture and Engineering,44
National Center for Genetic Engineering and Biotechnology,44
Qujing Normal University,44
Vale Technological Institute,44
Kunming Institute of Botany,44
West Pomeranian University of Technology,44
Estación Experimental del Zaidín,44
All-Russian Institute of Plant Protection,44
H.S. Skovoroda Kharkiv National Pedagogical University,44
University of Warsaw,44
University of Gdańsk,44
Institute for Research and Development,44
Mae Fah Luang University,44
Universidade Federal do Rio Grande do Norte,44
National Institute of Fundamental Studies,44
Agroscope,44
National Science and Technology Development Agency,44
Universidade Federal de Pernambuco,44
Ahi Evran University,44
Universidad Autónoma de Chiriquí,44
Field Museum of Natural History,44
Museu Paraense Emílio Goeldi,44
University of Debrecen,44
Chan Zuckerberg Initiative (United States),43
DNAnexus (United States),43
University of Connecticut,43
Stowers Institute for Medical Research,43
James S. McDonnell Foundation,43
Seattle Children's Hospital,43
Russian Academy of Sciences,43
National Institute of Standards and Technology,43
EcoHealth Alliance,43
University of Massachusetts Chan Medical School,43
Lomonosov Moscow State University,43
Sirius University of Science and Technology,43
National Center for Biotechnology Information,43
Howard Hughes Medical Institute,43
University of Kansas,43
Institute for Systems Biology,43
Cancer Genetics (United States),43
Cancer Institute of Florida,43
Vavilov Institute of General Genetics,43
Rutgers Cancer Institute of New Jersey,43
Max Planck Institute of Molecular Cell Biology and Genetics,43
Rockefeller University,43
University of Glasgow,43
Pacific Biosciences (United States),43
International Union for Conservation of Nature,43
Homi Bhabha National Institute,43
Hong Kong Baptist University,42
University of Agder,42
Indiana University Melvin and Bren Simon Comprehensive Cancer Center,42
Robert Morris University Illinois,42
London School of Hygiene & Tropical Medicine,42
Centre International de Recherche sur le Cancer,42
Universidade de Brasília,41
Bernice P. Bishop Museum,41
Conservation International,41
North Carolina Museum of Natural Sciences,41
Bandung Institute of Technology,41
Australian Museum,41
Okayama University of Science,41
Museum für Naturkunde,41
Zoological Society of San Diego,41
NatureServe,41
University of Concepción,41
University of Zulia,41
Zoological Institute,41
California Academy of Sciences,41
Charles Darwin University,41
University of Bío-Bío,41
South African National Biodiversity Institute,41
Université Sorbonne Paris Nord,41
Zoological Research Museum Alexander Koenig,41
Zoo Outreach Organisation,41
Department of Conservation,41
Centro Científico Tecnológico Patagónico,41
Leibniz Institute for the Analysis of Biodiversity Change,41
Temple University,41
University of Bergen,40
University of Milano-Bicocca,40
Constantine the Philosopher University in Nitra,40
Pontifical Catholic University of Rio de Janeiro,40
Universidad Católica del Norte,40
Bielefeld University,40
Airlangga University,40
