institution,betweenness_centrality
University of Delhi,0.0022298396443055754
Sharda University,0.0022263972707873923
Icahn School of Medicine at Mount Sinai,0.002200569262080983
University of Alabama at Birmingham,0.002180651447773212
University College Dublin,0.0021762838443513412
University of Bern,0.002149416251863381
Lovely Professional University,0.002114298446920012
Sunway University,0.0021082900408176497
University of Hyderabad,0.0021041260826973295
"University of California, San Francisco",0.0020936756434633674
Symbiosis International University,0.0020923689703183828
Normandie Université,0.0020912411178172904
Columbia University,0.002091141610925004
University of Leeds,0.002066076320411333
University of Manchester,0.0020644661358372694
Amsterdam University Medical Centers,0.0020280407235821678
University of Tennessee Health Science Center,0.002027011244894702
Osaka University,0.0020260971442546422
Shanghai Jiao Tong University,0.001956152765947872
University of Groningen,0.0019514137678632454
University of Delaware,0.0019401548497208802
Rigshospitalet,0.001923663441716333
Humboldt-Universität zu Berlin,0.0018846479521203727
Tohoku University,0.0018846479521203727
Lancaster University,0.0018842465872518236
Indian Institute of Technology Hyderabad,0.0018791773558159842
Centers for Disease Control and Prevention,0.001876585401511896
Fudan University,0.0018683641521611174
University of Minnesota,0.0018545366807242811
Georgia State University,0.0018417507310197246
University of Manitoba,0.0018354802092355896
Austrian Academy of Sciences,0.0018293503020332768
Dr. B. R. Ambedkar National Institute of Technology Jalandhar,0.0017694870826088763
Nagoya University,0.0017377956705382956
Central University of Rajasthan,0.0017187453004434818
Central University of Punjab,0.0017103396122070966
University of Akron,0.001701519964343554
Brigham and Women's Hospital,0.0016951031611889718
The University of Texas MD Anderson Cancer Center,0.001684661073044244
Malaviya National Institute of Technology Jaipur,0.0016806217830089107
University of Ibadan,0.0016694097127967404
University of Kinshasa,0.00165700472704206
National Institute of Industrial Engineering,0.0016511599795490058
Jamia Millia Islamia,0.0016481102793220353
Yonsei University,0.0016392006708842303
University of Adelaide,0.0016309101878850285
Georgia Institute of Technology,0.0016185894024312092
University of Southampton,0.0016151172133953928
Wayne State University,0.0016139730923314301
Queen's University,0.0016098286862797008
Trinity College Dublin,0.0016086055305882497
Sorbonne Université,0.0015965543006807217
Finnish Institute for Health and Welfare,0.001587227122147866
Universidad Nacional Autónoma de México,0.0015756255750751147
University of the Witwatersrand,0.0015119870709262692
Commissariat à l'Énergie Atomique et aux Énergies Alternatives,0.001490924198654016
Indiana University Melvin and Bren Simon Comprehensive Cancer Center,0.0014851718695944034
WinnMed,0.001469032251128377
Qatar University,0.0014587205721386845
EcoHealth Alliance,0.0014537514289490784
National Institutes of Health,0.001448186641213917
Public Health Foundation of India,0.001425041499880605
Oregon State University,0.001419013859483782
University of Alberta,0.0013169650841076239
Nottingham University Hospitals NHS Trust,0.0012961855750523964
Heinrich Heine University Düsseldorf,0.001282654957034533
National University Health System,0.0012741412021073585
Universität Ulm,0.0012564376648157153
Homi Bhabha National Institute,0.0012549824527560787
Université de Bordeaux,0.0012548102740453234
Govind Ballabh Pant University of Agriculture and Technology,0.0012491168103810223
Institució Catalana de Recerca i Estudis Avançats,0.001248269080208469
University of Auckland,0.0012416325355487673
Research Advocacy Network,0.0011990141613300502
University of Pretoria,0.0011969205374842027
St Petersburg University,0.0011963933099125156
Hôpital Robert-Debré,0.0011940892392452494
University of York,0.0011846183398342201
Zoological Society of London,0.0011732816144002386
Vanderbilt University Medical Center,0.001172254746377276
Lund University,0.001161889172934746
Narsee Monjee Institute of Management Studies,0.0011610105065495147
Free University of Bozen-Bolzano,0.0011459740557114048
World Health Organization,0.0011162104457004846
The University of Texas Southwestern Medical Center,0.001114094607540692
Northwestern University,0.0011098609073895954
Robert Bosch Hospital,0.0010791993895917947
University of Cape Town,0.0010722866275387028
Red Cross War Memorial Children's Hospital,0.0010722866275387028
Murdoch Children's Research Institute,0.0010722866275387028
Near East University,0.001072167738926352
VA Boston Healthcare System,0.0010700096185240408
Jawaharlal Nehru University,0.0010596105192493463
University of Naples Federico II,0.0010551991521156765
Marien Ngouabi University,0.001055165252102236
Moffitt Cancer Center,0.0010393894340916241
University of Agder,0.0010358387817975673
Carnegie Mellon University,0.0010347640959902692
University of Gothenburg,0.00103364597280457
University of Lausanne,0.001025658883751454
University of Milan,0.001023420415217272
Dana-Farber Cancer Institute,0.0010008647376082286
University of Utah,0.0009915694277367018
University of Trieste,0.000987542811573976
Université Bourgogne Franche-Comté,0.0009720842983995028
Dublin City University,0.0009514451879132247
George Washington University,0.0009335086768354554
National Human Genome Research Institute,0.0009166763826427254
ETH Zurich,0.0009036813746465096
Tata Memorial Hospital,0.000903387502131029
Academy of Scientific and Innovative Research,0.000892139651089427
Universidad de Los Andes,0.0008696338254521533
Chinese Academy of Medical Sciences & Peking Union Medical College,0.0008512064277211391
Université de Montréal,0.0008489597933022679
Indian Institute of Technology Bombay,0.0008331562810581032
Peking University,0.0008297627905916204
Mudra Institute of Communications Ahmedabad,0.0008224781766220912
Aga Khan University Nairobi,0.000820600979402552
National Institute of Mental Health,0.0008183465131909718
"University of California, Los Angeles",0.0008139889388922215
Université Paris-Saclay,0.0007991386198734311
University of Glasgow,0.0007954605979727742
Pontificia Universidad Católica de Chile,0.0007757390558569272
Johns Hopkins Medicine,0.0007754967468202405
Jagiellonian University,0.000774865061733696
"University of California, Santa Cruz",0.0007673323511098254
University of Leicester,0.0007598772442470018
Wellcome Sanger Institute,0.0007493122827747806
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,0.0007386691471369984
University of Stavanger,0.0007175276468138554
"University of Maryland, Baltimore County",0.0007160268948568027
University of Sharjah,0.0007134971718027773
Dr. Yashwant Singh Parmar University of Horticulture and Forestry,0.0006994306926197569
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,0.0006988745700062292
UCSF Helen Diller Family Comprehensive Cancer Center,0.0006983817958409236
Université Paris Cité,0.0006963145474725418
Universidad San Francisco de Quito,0.000695207545019091
Fermi National Accelerator Laboratory,0.0006866625378647172
Shoolini University,0.0006687589174955069
Sechenov University,0.0006685364465111471
Tabriz University of Medical Sciences,0.0006685364465111471
University of Malaya,0.0006611810381269731
Rush University Medical Center,0.0006578387128827528
McGill University,0.0006548193095205505
University of Würzburg,0.0006545341863323176
Columbia University Irving Medical Center,0.0006545341863323176
École de management de Lyon,0.0006412777491949725
Kumamoto University,0.0006369312224165972
"Kasturba Medical College, Manipal",0.0006367156196587358
University of Arizona,0.000634353321478357
Hospital de Clínicas de Porto Alegre,0.0006328975361093477
University of Liverpool,0.0006307522492251849
Makerere University,0.000628114513922056
Oregon Health & Science University,0.0006273673993582238
Gyeongsang National University,0.000622760604878401
Kaiser Permanente,0.0006158743156525726
Jazan University,0.0006120454628287111
Bursa Uludağ Üni̇versi̇tesi̇,0.0006120454628287111
Cardiff University,0.0006053100915395549
RMIT University,0.0006042459318121297
"Agency for Science, Technology and Research",0.000603695877054216
Children's Hospital of Philadelphia,0.000603695877054216
Graphic Era University,0.0005906520968936536
Centro de Investigación Biomédica en Red Diabetes y Enfermedades Metabólicas Asociadas,0.0005665907384452294
National Center for Global Health and Medicine,0.0005665907384452294
Institute for High Energy Physics,0.0005450797236706904
Barts Health NHS Trust,0.0005388401684153464
United Nations Children's Fund,0.0005336633427451918
University of Illinois Urbana-Champaign,0.0005290916774367668
University of Sussex,0.0005290916774367668
Lawrence Berkeley National Laboratory,0.0005290916774367668
Universidad Autónoma de Madrid,0.0005290916774367668
University of Wisconsin–Madison,0.0005290916774367668
Argonne National Laboratory,0.0005290916774367668
Centre Hospitalier Universitaire de Montpellier,0.0005271624425000526
Children's Hospital of Los Angeles,0.0005227402310203416
Hospital de Sant Pau,0.0005200556711550215
Helmholtz Centre for Environmental Research,0.0005152288173678824
Universitätsklinikum Erlangen,0.0004969983936010351
Freeman Hospital,0.0004968384984894815
University of Mississippi Medical Center,0.0004927120148103821
Fred Hutch Cancer Center,0.0004867944969968487
Swinburne University of Technology Sarawak Campus,0.00048084550968393165
Kumaun University,0.0004772932922680738
Leiden University Medical Center,0.0004765553324384504
Jaipuria Institute of Management,0.0004690533565282227
The Francis Crick Institute,0.0004659136136453868
Keck Hospital of USC,0.0004659136136453868
Singapore National Eye Center,0.00045498462837497957
Singapore Eye Research Institute,0.00045498462837497957
Mayo Clinic in Arizona,0.00044224770856630274
Weill Cornell Medicine,0.00044224770856630274
Post Graduate Institute of Medical Education and Research,0.00043405319418231915
Ollscoil na Gaillimhe – University of Galway,0.000433547069545716
Charité - Universitätsmedizin Berlin,0.000433547069545716
Seoul National University Bundang Hospital,0.000433547069545716
Helmholtz Zentrum München,0.00041034017788200554
Broad Institute,0.00041034017788200554
London School of Hygiene & Tropical Medicine,0.00040454504886374066
Copenhagen University Hospital,0.00038939796682075755
University of Tennessee at Knoxville,0.00036582218668370807
Medical College of Wisconsin,0.0003606743001364693
Fondazione IRCCS Istituto Nazionale dei Tumori,0.0003496793268549044
Aichi Medical University Hospital,0.00034702898174549196
Kindai University,0.00034698489180979837
Hospital for Sick Children,0.0003367567464168685
Assistance Publique – Hôpitaux de Paris,0.0003367567464168685
Pennsylvania State University,0.0003292163117970211
University Medical Center of the Johannes Gutenberg University Mainz,0.00031904499478188424
Northumbria University,0.0003119933263150668
Google (United States),0.0003092854757766442
IRCCS Humanitas Research Hospital,0.00029882024478974017
Gentofte Hospital,0.0002974344468097911
Jackson Memorial Hospital,0.0002974344468097911
EAE Business School,0.0002962810766031741
University of Georgia,0.0002962810766031741
Audencia Business School,0.0002962810766031741
ESIC Business & Marketing School,0.0002962810766031741
Hong Kong Polytechnic University,0.0002962810766031741
Universität der Bundeswehr München,0.0002962810766031741
University of Piraeus,0.0002962810766031741
BI Norwegian Business School,0.0002962810766031741
Swinburne University of Technology,0.00029178959774149723
Hôpital Lyon Sud,0.00026205404023016686
Fox Chase Cancer Center,0.00025883393682255907
Banaras Hindu University,0.00025845974732853434
Khon Kaen University,0.00025072459695660656
Nitte University,0.0002377654788334621
National Institute on Aging,0.00021868736136142395
Université de Lille,0.00021868736136142395
Institut Pasteur de Lille,0.00021868736136142395
McMaster University,0.00021868736136142395
All India Institute of Medical Sciences Bhopal,0.0002099173507429775
Pandit Deendayal Petroleum University,0.00020339574618185625
École Polytechnique Fédérale de Lausanne,0.00017991705908493717
Cleveland Clinic,0.00017651873860255568
National Institute of Food Technology Entrepreneurship and Management,0.0001726132986434309
Florida Polytechnic University,0.00016922844501615218
University of Massachusetts Amherst,0.0001640639900358055
National Taiwan University,0.0001640639900358055
Centre for Cellular and Molecular Biology,0.0001640639900358055
Centre for Human Genetics,0.0001640639900358055
Wake Forest University,0.0001640639900358055
"Institute of Biomedical Sciences, Academia Sinica",0.0001640639900358055
Harbor–UCLA Medical Center,0.0001640639900358055
Institute for Molecular Medicine Finland,0.0001640639900358055
RIKEN Center for Integrative Medical Sciences,0.0001640639900358055
George Institute for Global Health,0.000161524687456702
City of Hope,0.00015455458250752426
Hotel Dieu Hospital,0.00015455458250752426
Levine Cancer Institute,0.00015455458250752426
Medical University of Vienna,0.0001536166764467704
"University of California, Davis",0.00015082444046367368
Sri Sivasubramaniya Nadar College of Engineering,0.00014684051707012543
Indian Institute of Technology Madras,0.00014244631928127203
Yale Cancer Center,0.00012549827462297907
Tata Institute of Fundamental Research,0.00011615901040455803
Helsinki Institute of Physics,0.00011615901040455803
Institut Gustave Roussy,0.00011229823946716516
Istituti di Ricovero e Cura a Carattere Scientifico,0.00011229823946716516
Indiana University – Purdue University Indianapolis,0.00011229823946716516
Bambino Gesù Children's Hospital,0.00011229823946716516
"National University Cancer Institute, Singapore",0.00011229823946716516
Jena University Hospital,0.00011229823946716516
Garvan Institute of Medical Research,0.00011229823946716516
Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,0.00011229823946716516
Dr. Margarete Fischer-Bosch-Institute of Clinical Pharmacology,0.00011229823946716516
Texas Children's Hospital,0.00011229823946716516
Peter the Great St. Petersburg Polytechnic University,0.00011101762327636812
Uttaranchal University,0.00011101762327636812
Singapore General Hospital,0.00010497048468341655
Centre International de Recherche sur le Cancer,9.397194620655953e-05
Rajalakshmi Engineering College,8.352539052958305e-05
Queen Mary Hospital,7.93781348125856e-05
Centro de Investigación Biomédica en Red de Enfermedades Hepáticas y Digestivas,7.93781348125856e-05
Instituto de Investigación Sanitaria del Principado de Asturias,7.93781348125856e-05
81th Hospital of PLA,7.93781348125856e-05
Universidad de Oviedo,7.93781348125856e-05
AstraZeneca (Japan),7.93781348125856e-05
National Hospital of Pediatrics,7.93781348125856e-05
Jacksonville College,7.869078064065065e-05
AstraZeneca (United States),7.869078064065065e-05
Hanoi Medical University Hospital,7.869078064065065e-05
Centro de Investigación Biomédica en Red,7.869078064065065e-05
Centre International de Recherche en Infectiologie,5.076867977218856e-05
Royal Marsden Hospital,5.076867977218856e-05
Institut Paoli-Calmettes,5.076867977218856e-05
University of Siena,5.076867977218856e-05
Chi Mei Medical Center,5.076867977218856e-05
S.L. Raheja Hospital,5.076867977218856e-05
University Hospital Schleswig-Holstein,5.076867977218856e-05
Université Claude Bernard Lyon 1,5.076867977218856e-05
Leeds Teaching Hospitals NHS Trust,5.076867977218856e-05
Universitätsmedizin Göttingen,5.076867977218856e-05
Instituto de Investigación Marqués de Valdecilla,5.076867977218856e-05
Universidade Federal da Bahia,5.076867977218856e-05
Children's Hospital of Wisconsin,5.076867977218856e-05
Hôpital Cardiologique du Haut-Lévêque,5.076867977218856e-05
Mayo Clinic,5.076867977218856e-05
University of Lübeck,5.076867977218856e-05
Fudan University Shanghai Cancer Center,5.076867977218856e-05
Sichuan University,5.076867977218856e-05
Aga Khan University Hospital Nairobi,5.076867977218856e-05
West China Hospital of Sichuan University,5.076867977218856e-05
Marqués de Valdecilla University Hospital,5.076867977218856e-05
Medizinische Hochschule Hannover,4.4186109154314805e-05
Sahlgrenska University Hospital,4.4186109154314805e-05
University Hospital Leipzig,4.4186109154314805e-05
Guy's and St Thomas' NHS Foundation Trust,4.4186109154314805e-05
Hôpital Cochin,4.4186109154314805e-05
Hôpital Maisonneuve-Rosemont,4.4186109154314805e-05
Nationwide Children's Hospital,4.4186109154314805e-05
Munich Leukemia Laboratory (Germany),4.4186109154314805e-05
Cincinnati Children's Hospital Medical Center,4.4186109154314805e-05
Indiana University School of Medicine,4.4186109154314805e-05
Institut Cochin,4.4186109154314805e-05
Hôpital Ambroise-Paré,4.4186109154314805e-05
Hospital Infantil Universitario Niño Jesús,4.4186109154314805e-05
Indian Institute of Technology Indore,4.053243232379292e-05
Yeungnam University,4.0227052216099506e-05
Statistical Research (United States),2.8435227640805282e-05
MRC Epidemiology Unit,2.8435227640805282e-05
Ealing Hospital,2.8435227640805282e-05
Korea National Institute of Health,2.8435227640805282e-05
"Oxford Centre for Diabetes, Endocrinology and Metabolism",2.8435227640805282e-05
London North West Healthcare NHS Trust,2.8435227640805282e-05
Population Health Research Institute,2.8435227640805282e-05
Vejle Sygehus,2.8435227640805282e-05
Medical Research Council,2.8435227640805282e-05
Deutsches Diabetes-Zentrum e.V.,2.8435227640805282e-05
Centre for Genomic Regulation,2.8435227640805282e-05
Circadian (United States),2.8435227640805282e-05
German Center for Diabetes Research,2.8435227640805282e-05
The Lundquist Institute,2.8435227640805282e-05
Brown University,2.8435227640805282e-05
deCODE Genetics (Iceland),2.8435227640805282e-05
Hallym University,2.8435227640805282e-05
University of Vermont,2.8435227640805282e-05
European Genomic Institute for Diabetes,2.8435227640805282e-05
Hamilton Health Sciences,2.8435227640805282e-05
"Consejo Nacional de Humanidades, Ciencias y Tecnologías",2.8435227640805282e-05
All India Institute of Medical Sciences Raipur,2.6437080295411468e-05
University of Colorado Anschutz Medical Campus,2.0204110330243573e-05
Praevium Research (United States),2.0204110330243573e-05
University Hospital Regensburg,2.0204110330243573e-05
University of Regensburg,2.0204110330243573e-05
NIHR Leicester Biomedical Research Centre,2.0204110330243573e-05
23andMe (United States),2.0204110330243573e-05
Kiel University,2.0204110330243573e-05
National Institute of Genomic Medicine,2.0204110330243573e-05
University of Mississippi,2.0204110330243573e-05
Harokopio University of Athens,2.0204110330243573e-05
Copenhagen Prospective Studies on Asthma in Childhood,2.0204110330243573e-05
Institute for Biomedicine,2.0204110330243573e-05
National Health Research Institutes,2.0204110330243573e-05
VA Eastern Colorado Health Care System,2.0204110330243573e-05
William Harvey Research Institute,2.0204110330243573e-05
Lundbeck Foundation,2.0204110330243573e-05
Division of Cancer Epidemiology and Genetics,2.0204110330243573e-05
Université Laval,2.0204110330243573e-05
University Medical Centre Mannheim,2.0204110330243573e-05
Isfahan University of Medical Sciences,2.0204110330243573e-05
University of Surrey,2.0204110330243573e-05
Statens Serum Institut,2.0204110330243573e-05
Queen's University Belfast,2.0204110330243573e-05
SIB Swiss Institute of Bioinformatics,2.0204110330243573e-05
Eurac Research,2.0204110330243573e-05
University Medical Center Groningen,2.0204110330243573e-05
Nanjing University of Chinese Medicine,2.0204110330243573e-05
RTI International,2.0204110330243573e-05
UCLA Medical Center,2.0204110330243573e-05
John Radcliffe Hospital,2.0204110330243573e-05
Edinburgh Cancer Research,2.0204110330243573e-05
IRCCS Materno Infantile Burlo Garofolo,2.0204110330243573e-05
Universität Innsbruck,2.0204110330243573e-05
QIMR Berghofer Medical Research Institute,2.0204110330243573e-05
University of Exeter,2.0204110330243573e-05
Glenfield Hospital,2.0204110330243573e-05
University Hospital Heidelberg,2.0204110330243573e-05
Steno Diabetes Center,2.0204110330243573e-05
Innsbruck Medical University,2.0204110330243573e-05
University of Sassari,2.0204110330243573e-05
Mental Health Services,2.0204110330243573e-05
UC San Diego Health System,1.8427246002760028e-05
KPR Institute of Engineering and Technology,1.8083773928373915e-05
Xiamen University Malaysia,1.8083773928373915e-05
Dalhousie University,1.8083773928373915e-05
SRM Institute of Science and Technology,1.8083773928373915e-05
Wenzhou University,1.8083773928373915e-05
University of Nottingham Malaysia Campus,1.8083773928373915e-05
Hydro-Québec,1.8083773928373915e-05
National Institute of Mental Health and Neurosciences,1.3456678995358985e-05
Wellcome Trust,1.3456678995358985e-05
Freie Universität Berlin,1.3456678995358985e-05
Penn Center for AIDS Research,1.3456678995358985e-05
Cuban Neuroscience Center,1.3456678995358985e-05
VA San Diego Healthcare System,1.3456678995358985e-05
Universidade Federal de São Paulo,1.3456678995358985e-05
Douglas Mental Health University Institute,1.3456678995358985e-05
MRC Cognition and Brain Sciences Unit,1.3456678995358985e-05
Great Ormond Street Hospital,1.3456678995358985e-05
Physiopathologie et imagerie des troubles neurologiques,1.3456678995358985e-05
Lifespan,1.3456678995358985e-05
Max Planck Institute for Human Cognitive and Brain Sciences,1.3456678995358985e-05
Center for Translational Research in Neuroimaging and Data Science,1.3456678995358985e-05
Cambridgeshire and Peterborough NHS Foundation Trust,1.3456678995358985e-05
Shanghai Center for Brain Science and Brain-Inspired Technology,1.3456678995358985e-05
Cyceron,1.3456678995358985e-05
Université de Caen Normandie,1.3456678995358985e-05
MRC Centre for Reproductive Health,1.3456678995358985e-05
Seoul National University,1.3456678995358985e-05
Montreal Neurological Institute and Hospital,1.3456678995358985e-05
Wellcome/MRC Institute of Metabolic Science,1.3456678995358985e-05
Prostate Cancer Research,1.3456678995358985e-05
MIND Research Institute,1.3456678995358985e-05
Institut des Maladies Neurodégénératives,1.3456678995358985e-05
Shanghai Institute for Science of Science,1.3456678995358985e-05
Singapore Institute for Clinical Sciences,1.3456678995358985e-05
GLA University,1.3043938514300477e-05
University of Talca,1.3043938514300477e-05
UK Astronomy Technology Centre,1.2613981647053128e-05
Universidade Estadual Paulista (Unesp),1.2613981647053128e-05
Institute for Physics,1.2613981647053128e-05
Perimeter Institute,1.2613981647053128e-05
Universidade Estadual de Campinas (UNICAMP),1.2613981647053128e-05
SLAC National Accelerator Laboratory,1.2613981647053128e-05
Universidad de La Laguna,1.2613981647053128e-05
Lowell Observatory,1.2613981647053128e-05
University of Oslo,1.2613981647053128e-05
Institute of Space Sciences,1.2613981647053128e-05
Jet Propulsion Laboratory,1.2613981647053128e-05
University of Hawaii System,1.2613981647053128e-05
Australian National University,1.2613981647053128e-05
Université Paris Sciences et Lettres,1.2613981647053128e-05
National Observatory,1.2613981647053128e-05
Australian Astronomical Observatory,1.2613981647053128e-05
École Normale Supérieure - PSL,1.2613981647053128e-05
Valongo Observatory,1.2613981647053128e-05
Institute of Astrophysics and Space Sciences,1.2613981647053128e-05
Institut d'Estudis Espacials de Catalunya,1.2613981647053128e-05
Kavli Institute for Particle Astrophysics and Cosmology,1.2613981647053128e-05
Center for Astrophysics Harvard & Smithsonian,1.2613981647053128e-05
Cerro Tololo Inter-American Observatory,1.2613981647053128e-05
Instituto de Astrofísica de Canarias,1.2613981647053128e-05
National Center for Supercomputing Applications,1.2613981647053128e-05
Macquarie University,1.2613981647053128e-05
Institute for Fundamental Physics of the Universe,1.2613981647053128e-05
